"periode_data", "wilayah"                   , "no_registrasi", "jenis_halte" , "kode_barang" , "lokasi_alamat"                                                                                                                                                                                             , "lintang"   , "bujur"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400178" , "REGULER"     , "133010118004", "Jl. St. Senen, RW.3, Senen, Kec. Senen, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10410 (Halte Gelanggang)"                                                                              , "-6.1748233", "106.843245"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400179" , "REGULER"     , "133010118004", "Jl. Pangeran Antasari 9-20, RT.13/RW.2, Cipete Sel., Kec. Cilandak, Kota KOTA ADM. JAKARTA SELATAN, Daerah Khusus Ibukota Jakarta 12410 (Halte Asem)"                                                      , "-6.2730734", "106.8086367"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400180" , "REGULER"     , "133010118004", "Jl. Prof. DR. Soepomo, Tebet Bar., Kec. Tebet, Kota KOTA ADM. JAKARTA SELATAN, Daerah Khusus Ibukota Jakarta 12870 (Halte Taman Rosita)"                                                                   , "-6.2376292", "106.8442394"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400181" , "TRANSJAKARTA", "133010135001", "Jl. Hayam Wuruk RT.4/RW.9, Maphar, Kec. Taman Sari, Kota KOTA ADM. JAKARTA BARAT, Daerah Khusus Ibukota Jakarta 11130 (Halte Busway Mangga Besar)"                                                         , "-6.1601304", "106.8171324"
"2024"        , " KOTA ADM. JAKARTA BARAT"  , "HLT202400182" , "TRANSJAKARTA", "133010135001", "Jl. Gajah Mada RT.4/RW.6, Mangga Besar, Kec. Taman Sari, Kota KOTA ADM. JAKARTA BARAT, Daerah Khusus Ibukota Jakarta 11130 (Halte Busway Olimo)"                                                           , "-6.1491567", "106.8168305"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400183" , "TRANSJAKARTA", "133010118004", "Jl. Lapangan Bola, RW.1, Kb. Jeruk, Kec. Kb. Jeruk, Kota KOTA ADM. JAKARTA BARAT, Daerah Khusus Ibukota Jakarta 11530 (Sebrang Prudential)"                                                                , "-6.1972191", "106.7665965"
"2024"        , " KOTA ADM. JAKARTA BARAT"  , "HLT202400184" , "TRANSJAKARTA", "133010135001", "Jl. Gajah Mada RT.1/RW.6, Mangga Besar, Kec. Taman Sari, Kota KOTA ADM. JAKARTA BARAT, Daerah Khusus Ibukota Jakarta 11120 (Halte Busway Glodok)"                                                          , "-6.1436317", "106.8153133"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400185" , "REGULER"     , "133010118004", "Jl. Dr. Saharjo 82-80, RT.13/RW.8, Ps. Manggis, Kec. Tebet, Kota KOTA ADM. JAKARTA SELATAN, Daerah Khusus Ibukota Jakarta 12850 (Halte Jl. Sahrjo)"                                                        , "-6.2146781", "106.8442293"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400186" , "REGULER"     , "133010118004", "Jl. HOS. Cokroaminoto, RT.2/RW.5, Menteng, Kec. Menteng, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10310 (Halte Gereja)"                                                                 , "-6.1988177", "106.828445"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400187" , "REGULER"     , "133010118004", "Jl. Raya Kby. Lama, RT.3, Grogol Sel., Kec. Kby. Lama, Kota KOTA ADM. JAKARTA SELATAN, Daerah Khusus Ibukota Jakarta 12220 (Halte Cidodol)"                                                                , "-6.2288342", "106.7788245"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400074" , "TRANSJAKARTA", "133010135001", "Jl. Gunung Sahari RT.16/RW.3, Gn. Sahari Utara, Kecamatan Sawah Besar, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10720 (Halte Jembatan Merah)"                                           , "-6.1465179", "106.834221"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400075" , "REGULER"     , "133010118004", "Jl. Kwini II, Kecamatan Sawah Besar, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10710 (Depan Rumah Duka Sentosa))"                                                                        , "-6.1752201", "106.8369696"
"2024"        , " KOTA ADM. JAKARTA UTARA"  , "HLT202400076" , "TRANSJAKARTA", "133010135001", "Pantai Indah RW.10, Ancol, Kec. Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 (Halte Busway Taman Impian Jaya Ancol)"                                                                    , "-6.1274594", "106.8306674"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400077" , "TRANSJAKARTA", "133010118004", "Jl. Merdeka Selatan KOTA ADM. JAKARTA PUSAT, RT.11/RW.2, Gambir, Kecamatan Gambir, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10110 (Depan GTO Gambir)"                                   , "-6.1791258", "106.8312343"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400078" , "TRANSJAKARTA", "133010135001", "Jl. Saco Ragunan, Kec. Ps. Minggu, Kota KOTA ADM. JAKARTA SELATAN, Daerah Khusus Ibukota Jakarta 12550 (Halte Busway Kebun Binatang Ragunan)"                                                              , "-6.3057643", "106.8193656"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400079" , "REGULER"     , "133010118004", "Jl. Pangeran Diponegoro Menteng, Kec. Menteng, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta (Halte Gedung Wanita)"                                                                          , "-6.2006933", "106.8362784"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400080" , "TRANSJAKARTA", "133010135001", "Jl. Matraman Raya Palmeriam, Kec. Matraman, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta (Halte Busway Matraman 1)"                                                                         , "-6.2003545", "106.8549724"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400081" , "REGULER"     , "133010118004", "Jl. Pemuda 2, RT.2/RW.7, Rawamangun, Kec. Pulo Gadung, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13220 (Depan Arion Mall)"                                                               , "-6.1928239", "106.8910271"
