route_id,trip_id,direction_id,stop_headsign,start_time,end_time
JAK.115,JAK.115-R02,1,Pegangsaan II IGI,05:00:00,22:00:00
JAK.115,JAK.115-R02,1,Term. Tanjung Priok,05:00:00,22:00:00
JAK.115,JAK.115-R02,1,Term. Tj. Priok,05:00:00,22:00:00
JAK.117,JAK.117-R05,0,Tanah Merdeka,05:00:00,22:00:00
JAK.117,JAK.117-R05,0,Tanjung Priok,05:00:00,22:00:00
JAK.117,JAK.117-R06,1,Tanah Merdeka,05:00:00,22:00:00
JAK.117,JAK.117-R06,1,Tanjung Priok,05:00:00,22:00:00
JAK.12,JAK.12-R01,0,Kebayoran Lama,05:00:00,22:00:00
JAK.12,JAK.12-R01,0,Kebayoran Lama Via Pos Pengumben,05:00:00,22:00:00
JAK.12,JAK.12-R01,0,Petamburan,05:00:00,22:00:00
JAK.12,JAK.12-R01,0,Simprug,05:00:00,22:00:00
JAK.12,JAK.12-R01,0,Tanah Abang,05:00:00,22:00:00
JAK.12,JAK.12-R01,0,Tanah Abang Via Pos Pengumben,05:00:00,22:00:00
JAK.12,JAK.12-R02,1,Kebayoran Lama,05:00:00,22:00:00
JAK.12,JAK.12-R02,1,Kebayoran Lama Via Pos Pengumben,05:00:00,22:00:00
JAK.12,JAK.12-R02,1,Petamburan,05:00:00,22:00:00
JAK.12,JAK.12-R02,1,Simprug,05:00:00,22:00:00
JAK.12,JAK.12-R02,1,Tanah Abang,05:00:00,22:00:00
JAK.12,JAK.12-R02,1,Tanah Abang Via Pos Pengumben,05:00:00,22:00:00
JAK.120,JAK.120-L03,0,JIS,05:00:00,22:00:00
JAK.120,JAK.120-L03,0,Term. Muara Angke,05:00:00,22:00:00
JAK.13,JAK.13-R01,0,Grogol,05:00:00,22:00:00
JAK.13,JAK.13-R01,0,Kota Intan,05:00:00,22:00:00
JAK.13,JAK.13-R01,0,Tanah Abang,05:00:00,22:00:00
JAK.13,JAK.13-R02,1,Grogol,05:00:00,22:00:00
JAK.13,JAK.13-R02,1,Kota Intan,05:00:00,22:00:00
JAK.13,JAK.13-R02,1,Tanah Abang,05:00:00,22:00:00
JAK.14,JAK.14-R01,0,Kebon Jeruk,05:00:00,22:00:00
JAK.14,JAK.14-R01,0,Meruya,05:00:00,22:00:00
JAK.14,JAK.14-R01,0,Palmerah,05:00:00,22:00:00
JAK.14,JAK.14-R01,0,Tanah Abang,05:00:00,22:00:00
JAK.14,JAK.14-R02,1,Kebon Jeruk,05:00:00,22:00:00
JAK.14,JAK.14-R02,1,Meruya,05:00:00,22:00:00
JAK.14,JAK.14-R02,1,Palmerah,05:00:00,22:00:00
JAK.14,JAK.14-R02,1,Tanah Abang,05:00:00,22:00:00
JAK.15,JAK.15-R05,0,Tanjung Priok,05:00:00,22:00:00
JAK.16,JAK.16-L01,0,Cililitan,05:00:00,22:00:00
JAK.16,JAK.16-L01,0,Condet,05:00:00,22:00:00
JAK.17,JAK.17-R01,0,Pulo Gadung,05:00:00,22:00:00
JAK.17,JAK.17-R01,0,Senen,05:00:00,22:00:00
JAK.17,JAK.17-R02,1,Pulo Gadung,05:00:00,22:00:00
JAK.17,JAK.17-R02,1,Senen,05:00:00,22:00:00
JAK.18,JAK.18-L01,0,Kalibata,05:00:00,22:00:00
JAK.18,JAK.18-L01,0,Kuningan,05:00:00,22:00:00
JAK.19,JAK.19-R01,0,Kampung Rambutan,05:00:00,22:00:00
JAK.19,JAK.19-R01,0,Pinang Ranti,05:00:00,22:00:00
JAK.19,JAK.19-R02,1,Kampung Rambutan,05:00:00,22:00:00
JAK.19,JAK.19-R02,1,Pinang Ranti,05:00:00,22:00:00
JAK.20,JAK.20-L01,0,Cawang Sentral,05:00:00,22:00:00
JAK.20,JAK.20-L01,0,Lubang Buaya,05:00:00,22:00:00
JAK.21,JAK.21-R01,0,Cililitan,05:00:00,22:00:00
JAK.21,JAK.21-R01,0,Dwikora,05:00:00,22:00:00
JAK.21,JAK.21-R02,1,Cililitan,05:00:00,22:00:00
JAK.21,JAK.21-R02,1,Dwikora,05:00:00,22:00:00
JAK.22,JAK.22-L02,0,Dwikora,05:00:00,22:00:00
JAK.22,JAK.22-L02,0,Halim,05:00:00,22:00:00
JAK.23,JAK.23-L01,0,Pisangan Baru,05:00:00,22:00:00
JAK.23,JAK.23-L01,0,Senen,05:00:00,22:00:00
JAK.24,JAK.24-R01,0,Pulo Gadung Via Kelapa Gading,05:00:00,22:00:00
JAK.24,JAK.24-R01,0,Senen Via Kelapa Gading,05:00:00,22:00:00
JAK.24,JAK.24-R02,1,Pulo Gadung Via Kelapa Gading,05:00:00,22:00:00
JAK.24,JAK.24-R02,1,Senen Via Kelapa Gading,05:00:00,22:00:00
